Time Elapsed,ID,X-Coord,Y-Coord
1523.0,5145501520,33.634,0.26
1523.0,5145427536,16.585,9.091
1523.0,5145506064,36.805,28.374
1523.0,5145502736,7.017,31.305
1523.0,5145550224,2.261,32.689
1523.0,5145553936,21.119,37.81
1523.0,5144920144,0.674,9.863
1524.0,5144660752,29.186,36.396
1524.0,5144976400,25.483,26.494
1524.0,5144669008,11.395,21.438
1524.0,5142859728,20.638,39.289
1524.0,5145153488,2.453,11.755
1524.0,5145376528,32.907,34.893
1524.0,5141658896,28.739,35.604
1524.0,5145496912,35.868,32.299
1524.0,5145501520,33.634,0.26
1524.0,5145427536,16.585,9.091
1524.0,5145506064,36.805,28.374
1524.0,5145502736,7.017,31.305
1524.0,5145550224,2.261,32.689
1524.0,5145553936,21.119,37.81
1524.0,5144920144,0.674,9.863
1524.0,5145613008,10.546,32.967
1525.0,5144660752,29.186,36.396
1525.0,5144976400,25.483,26.494
1525.0,5144669008,11.395,21.438
1525.0,5142859728,20.638,39.289
1525.0,5145153488,2.453,11.755
1525.0,5145376528,32.907,34.893
1525.0,5141658896,28.739,35.604
1525.0,5145496912,35.868,32.299
1525.0,5145501520,33.634,0.26
1525.0,5145427536,16.585,9.091
1525.0,5145506064,36.805,28.374
1525.0,5145502736,7.017,31.305
1525.0,5145550224,2.261,32.689
1525.0,5145553936,21.119,37.81
1525.0,5144920144,0.674,9.863
1525.0,5145613008,10.546,32.967
1526.0,5144660752,29.186,36.396
1526.0,5144976400,25.483,26.494
1526.0,5144669008,11.395,21.438
1526.0,5142859728,20.638,39.289
1526.0,5145153488,2.453,11.755
1526.0,5145376528,32.907,34.893
1526.0,5141658896,28.739,35.604
1526.0,5145496912,35.868,32.299
1526.0,5145501520,33.634,0.26
1526.0,5145427536,16.585,9.091
1526.0,5145506064,36.805,28.374
1526.0,5145502736,7.017,31.305
1526.0,5145550224,2.261,32.689
1526.0,5145553936,21.119,37.81
1526.0,5144920144,0.674,9.863
