,Time Elapsed/s,Agent Population,Food Population
431,138.19999999999644,41.0,40.0
432,138.19999999999644,41.0,41.0
433,138.8999999999964,41.0,40.0
434,138.9999999999964,41.0,39.0
435,138.9999999999964,42.0,39.0
436,138.9999999999964,42.0,39.0
437,138.9999999999964,42.0,40.0
438,139.19999999999638,42.0,39.0
439,139.59999999999636,42.0,38.0
440,139.69999999999635,42.0,37.0
441,139.69999999999635,43.0,37.0
442,139.79999999999634,43.0,37.0
443,139.79999999999634,43.0,38.0
444,139.89999999999634,43.0,37.0
445,139.89999999999634,44.0,37.0
446,140.29999999999632,44.0,36.0
447,140.3999999999963,44.0,36.0
448,140.3999999999963,44.0,37.0
449,140.4999999999963,44.0,36.0
450,140.6999999999963,44.0,35.0
451,141.39999999999625,44.0,34.0
452,141.59999999999624,44.0,33.0
453,142.3999999999962,44.0,33.0
454,142.3999999999962,44.0,34.0
455,142.4999999999962,44.0,33.0
456,142.4999999999962,45.0,33.0
457,142.69999999999618,45.0,32.0
458,143.09999999999616,45.0,31.0
459,144.69999999999607,45.0,30.0
460,146.19999999999598,45.0,29.0
461,146.29999999999598,45.0,28.0
462,146.49999999999596,45.0,27.0
463,146.49999999999596,46.0,27.0
464,146.49999999999596,46.0,27.0
465,146.49999999999596,46.0,28.0
466,147.09999999999593,46.0,28.0
467,147.09999999999593,46.0,29.0
468,147.29999999999592,46.0,29.0
469,147.29999999999592,46.0,30.0
470,147.3999999999959,46.0,30.0
471,147.3999999999959,46.0,31.0
472,147.4999999999959,46.0,30.0
473,147.6999999999959,46.0,30.0
474,147.6999999999959,46.0,31.0
475,148.19999999999587,46.0,31.0
476,148.19999999999587,46.0,32.0
477,148.39999999999586,46.0,31.0
478,148.99999999999582,46.0,30.0
479,149.69999999999578,46.0,30.0
480,149.69999999999578,46.0,31.0
481,150.09999999999576,45.0,31.0
482,150.29999999999575,45.0,30.0
483,150.29999999999575,46.0,30.0
484,150.69999999999573,46.0,29.0
485,150.69999999999573,46.0,29.0
486,150.69999999999573,46.0,30.0
487,150.9999999999957,46.0,29.0
488,150.9999999999957,47.0,29.0
489,150.9999999999957,47.0,28.0
490,151.0999999999957,47.0,28.0
491,151.0999999999957,47.0,29.0
492,151.59999999999567,47.0,28.0
493,151.59999999999567,47.0,28.0
494,151.59999999999567,47.0,29.0
495,152.39999999999563,47.0,29.0
496,152.39999999999563,47.0,30.0
497,152.6999999999956,47.0,29.0
498,152.7999999999956,47.0,29.0
499,152.7999999999956,47.0,30.0
500,153.49999999999557,47.0,29.0
501,153.59999999999556,47.0,28.0
502,153.59999999999556,47.0,28.0
503,153.59999999999556,47.0,29.0
504,153.69999999999555,47.0,28.0
505,153.89999999999554,47.0,27.0
506,154.5999999999955,47.0,26.0
507,155.09999999999548,47.0,25.0
508,155.09999999999548,48.0,25.0
509,155.29999999999546,48.0,24.0
510,155.29999999999546,48.0,23.0
511,155.29999999999546,49.0,23.0
512,155.69999999999544,49.0,23.0
513,155.69999999999544,49.0,24.0
514,155.99999999999542,49.0,23.0
515,156.3999999999954,49.0,22.0
516,156.3999999999954,49.0,22.0
517,156.3999999999954,49.0,23.0
518,156.5999999999954,49.0,22.0
519,156.5999999999954,50.0,22.0
520,156.79999999999538,50.0,22.0
521,156.79999999999538,50.0,23.0
522,156.89999999999537,50.0,22.0
523,159.49999999999523,50.0,21.0
524,159.49999999999523,51.0,21.0
525,160.0999999999952,51.0,21.0
526,160.0999999999952,51.0,22.0
527,161.6999999999951,51.0,21.0
528,161.6999999999951,52.0,21.0
529,161.7999999999951,52.0,20.0
530,161.99999999999508,52.0,20.0
531,161.99999999999508,52.0,21.0
532,162.39999999999506,52.0,21.0
533,162.39999999999506,52.0,22.0
534,163.09999999999502,52.0,21.0
535,163.09999999999502,53.0,21.0
536,163.299999999995,53.0,20.0
537,163.299999999995,54.0,20.0
538,163.399999999995,54.0,20.0
539,163.399999999995,54.0,21.0
540,163.89999999999498,54.0,21.0
541,163.89999999999498,54.0,22.0
542,163.99999999999497,54.0,22.0
543,163.99999999999497,54.0,23.0
544,164.09999999999496,54.0,22.0
545,164.39999999999495,54.0,21.0
546,164.39999999999495,54.0,21.0
547,164.39999999999495,54.0,22.0
548,165.59999999999488,54.0,22.0
549,165.59999999999488,54.0,23.0
550,166.9999999999948,54.0,23.0
551,166.9999999999948,54.0,24.0
552,167.29999999999478,54.0,24.0
553,167.29999999999478,54.0,25.0
554,167.69999999999476,54.0,25.0
555,167.69999999999476,54.0,26.0
556,167.79999999999475,54.0,25.0
557,167.79999999999475,55.0,25.0
558,169.09999999999468,55.0,24.0
559,169.29999999999467,55.0,23.0
